,country,amount,success,PSP,3D_secured,card,minute,hour,day,month,year,weekday,transaction_id,fee,fee_sum,transaction_count
0,1,89,0,3,0,2,1,0,1,1,2019,1,4994,1.0,4.0,2
1,1,89,1,3,0,2,1,0,1,1,2019,1,4994,3.0,4.0,2
2,1,238,0,3,1,0,2,0,1,1,2019,1,24470,0.5,0.5,1
3,1,238,1,3,1,0,3,0,1,1,2019,1,24474,3.0,3.0,1
4,0,124,0,2,0,0,4,0,1,1,2019,1,8319,0.5,0.5,1
5,2,282,0,3,0,1,6,0,1,1,2019,1,29951,0.5,0.5,1
6,2,282,0,2,0,1,7,0,1,1,2019,1,29953,0.5,0.5,1
7,1,117,1,3,0,1,8,0,1,1,2019,1,7562,3.0,3.0,1
8,2,174,0,2,0,2,9,0,1,1,2019,1,15019,1.0,1.0,1
9,2,174,0,2,0,2,10,0,1,1,2019,1,15020,1.0,1.0,1
10,0,232,0,2,1,0,12,0,1,1,2019,1,23556,1.0,1.5,2
11,0,232,0,3,1,0,12,0,1,1,2019,1,23556,0.5,1.5,2
12,0,232,0,3,1,0,13,0,1,1,2019,1,23559,0.5,1.5,2
13,0,232,0,3,1,0,13,0,1,1,2019,1,23559,1.0,1.5,2
14,0,232,1,3,1,0,14,0,1,1,2019,1,23561,1.0,1.0,1
15,1,268,0,2,0,1,15,0,1,1,2019,1,28268,1.0,1.0,1
16,2,89,0,2,0,1,18,0,1,1,2019,1,5046,1.0,2.5,3
17,2,89,0,3,0,1,18,0,1,1,2019,1,5046,0.5,2.5,3
18,2,89,0,1,0,1,18,0,1,1,2019,1,5046,1.0,2.5,3
19,1,205,0,3,0,1,20,0,1,1,2019,1,19581,1.0,2.0,2
20,1,205,0,3,0,1,20,0,1,1,2019,1,19581,1.0,2.0,2
21,1,205,1,1,0,1,21,0,1,1,2019,1,19586,5.0,5.0,1
22,2,111,0,2,0,1,23,0,1,1,2019,1,7034,1.0,1.0,1
23,2,111,0,3,0,1,24,0,1,1,2019,1,7036,1.0,3.0,2
24,2,111,0,3,0,1,24,0,1,1,2019,1,7036,2.0,3.0,2
25,2,111,0,3,0,1,25,0,1,1,2019,1,7039,1.0,1.0,1
26,2,111,0,3,0,1,26,0,1,1,2019,1,7041,1.0,2.0,2
27,2,111,0,3,0,1,26,0,1,1,2019,1,7041,1.0,2.0,2
28,2,277,1,0,0,0,28,0,1,1,2019,1,29406,5.0,5.0,1
29,2,137,0,3,0,0,30,0,1,1,2019,1,10014,2.0,2.0,1
30,2,148,0,1,0,0,32,0,1,1,2019,1,11369,0.5,0.5,1
31,0,394,0,3,0,0,34,0,1,1,2019,1,36722,5.0,6.0,2
32,0,394,0,3,0,0,34,0,1,1,2019,1,36722,1.0,6.0,2
33,0,394,0,3,0,0,35,0,1,1,2019,1,36723,1.0,4.0,2
34,0,394,1,3,0,0,35,0,1,1,2019,1,36723,3.0,4.0,2
35,1,84,0,1,0,1,36,0,1,1,2019,1,4578,1.0,1.0,1
36,0,34,0,1,0,2,41,0,1,1,2019,1,1203,0.5,2.5,3
37,0,34,0,2,0,2,41,0,1,1,2019,1,1203,1.0,2.5,3
38,0,34,0,0,0,2,41,0,1,1,2019,1,1203,1.0,2.5,3
39,2,324,0,3,0,1,44,0,1,1,2019,1,33653,1.0,1.0,1
40,1,251,0,3,1,1,46,0,1,1,2019,1,26170,1.0,1.5,2
41,1,251,0,3,1,1,46,0,1,1,2019,1,26170,0.5,1.5,2
42,1,251,0,3,1,1,47,0,1,1,2019,1,26174,2.0,2.5,2
43,1,251,0,2,1,1,47,0,1,1,2019,1,26174,0.5,2.5,2
44,1,100,0,3,0,1,51,0,1,1,2019,1,5984,1.0,6.0,2
45,1,100,0,3,0,1,51,0,1,1,2019,1,5984,5.0,6.0,2
46,1,100,0,3,0,1,52,0,1,1,2019,1,5985,1.0,2.5,3
47,1,100,0,3,0,1,52,0,1,1,2019,1,5985,1.0,2.5,3
48,1,100,0,2,0,1,52,0,1,1,2019,1,5985,0.5,2.5,3
49,1,221,0,1,0,2,55,0,1,1,2019,1,22052,1.0,1.0,1
50,2,340,0,2,0,0,56,0,1,1,2019,1,34689,2.0,3.0,2
51,2,340,1,3,0,0,56,0,1,1,2019,1,34689,1.0,3.0,2
52,1,257,0,3,1,1,1,1,1,1,2019,1,26913,2.0,2.5,2
53,1,257,0,0,1,1,1,1,1,1,2019,1,26913,0.5,2.5,2
54,1,257,0,3,1,1,2,1,1,1,2019,1,26915,0.5,3.5,2
55,1,257,1,3,1,1,2,1,1,1,2019,1,26915,3.0,3.5,2
56,2,193,0,3,0,2,3,1,1,1,2019,1,17788,1.0,1.0,1
57,1,36,1,2,1,1,4,1,1,1,2019,1,1342,3.0,3.0,1
58,2,146,0,2,0,0,6,1,1,1,2019,1,11105,1.0,1.0,1
59,1,192,0,3,0,1,8,1,1,1,2019,1,17549,5.0,8.0,2
60,1,192,1,3,0,1,8,1,1,1,2019,1,17549,3.0,8.0,2
61,1,14,0,1,0,1,11,1,1,1,2019,1,228,1.0,2.0,2
62,1,14,0,3,0,1,11,1,1,1,2019,1,228,1.0,2.0,2
63,1,175,0,1,0,2,12,1,1,1,2019,1,15080,0.5,0.5,1
64,1,175,0,2,0,2,13,1,1,1,2019,1,15083,1.0,4.0,2
65,1,175,1,2,0,2,13,1,1,1,2019,1,15083,3.0,4.0,2
66,1,270,0,2,0,1,14,1,1,1,2019,1,28521,1.0,1.5,2
67,1,270,0,3,0,1,14,1,1,1,2019,1,28521,0.5,1.5,2
68,0,256,0,3,0,1,17,1,1,1,2019,1,26770,2.0,3.0,2
69,0,256,0,3,0,1,17,1,1,1,2019,1,26770,1.0,3.0,2
70,0,256,0,3,0,1,18,1,1,1,2019,1,26772,1.0,4.0,2
71,0,256,1,1,0,1,18,1,1,1,2019,1,26772,3.0,4.0,2
72,1,310,0,0,0,2,19,1,1,1,2019,1,32570,0.5,0.5,1
73,1,310,0,2,0,2,20,1,1,1,2019,1,32574,1.0,3.0,2
74,1,310,0,3,0,2,20,1,1,1,2019,1,32574,2.0,3.0,2
75,1,310,0,3,0,2,21,1,1,1,2019,1,32577,5.0,6.5,3
76,1,310,0,2,0,2,21,1,1,1,2019,1,32577,0.5,6.5,3
77,1,310,0,3,0,2,21,1,1,1,2019,1,32577,1.0,6.5,3
78,1,310,1,3,0,2,22,1,1,1,2019,1,32578,3.0,3.0,1
79,0,239,0,2,0,1,23,1,1,1,2019,1,24581,1.0,1.0,1
80,1,37,0,3,0,1,26,1,1,1,2019,1,1424,1.0,1.5,2
81,1,37,0,2,0,1,26,1,1,1,2019,1,1424,0.5,1.5,2
82,1,37,0,1,0,1,27,1,1,1,2019,1,1425,1.0,1.0,1
83,1,37,0,3,0,1,28,1,1,1,2019,1,1426,2.0,8.0,3
84,1,37,0,3,0,1,28,1,1,1,2019,1,1426,5.0,8.0,3
85,1,37,0,2,0,1,28,1,1,1,2019,1,1426,1.0,8.0,3
86,1,56,0,2,1,2,35,1,1,1,2019,1,2860,1.0,4.0,3
87,1,56,0,3,1,2,35,1,1,1,2019,1,2860,1.0,4.0,3
88,1,56,0,1,1,2,35,1,1,1,2019,1,2860,2.0,4.0,3
89,1,192,0,0,1,0,36,1,1,1,2019,1,17603,2.0,2.0,1
90,1,192,0,2,1,0,37,1,1,1,2019,1,17604,1.0,1.0,1
91,1,324,0,3,0,2,38,1,1,1,2019,1,33629,1.0,5.5,4
92,1,324,0,3,0,2,38,1,1,1,2019,1,33629,0.5,5.5,4
93,1,324,0,3,0,2,38,1,1,1,2019,1,33629,1.0,5.5,4
94,1,324,1,2,0,2,38,1,1,1,2019,1,33629,3.0,5.5,4
95,1,105,0,3,0,1,40,1,1,1,2019,1,6461,1.0,1.0,1
96,1,105,0,2,0,1,41,1,1,1,2019,1,6462,1.0,1.0,1
97,1,105,0,3,0,1,42,1,1,1,2019,1,6464,2.0,3.0,2
98,1,105,0,1,0,1,42,1,1,1,2019,1,6464,1.0,3.0,2
